Id,Model,Price
324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,12928.66472
326,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13185.04558
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12029.06344
331,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13014.65757
339,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,12928.66472
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13081.87069
342,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13014.65757
356,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13222.70444
361,Â TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13541.4118
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12604.78998
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,12218.84977
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13491.73828
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12907.9985
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12916.01174
381,Â TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,10362.73933
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,10183.69975
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11547.20011
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,11092.64981
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11394.3517
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10697.91067
405,TOYOTA Corolla 2.0D 4/5-Doors,9602.476023
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11107.77827
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,11853.89282
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11584.85898
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11903.56634
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10183.69975
422,Â TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,10552.69822
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10391.2179
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10490.39245
426,Â TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,10801.08556
427,Â TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11070.1194
428,Â TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11444.02522
432,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11376.8121
433,Â TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10966.94451
436,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11327.13858
437,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10917.97221
438,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11376.8121
440,Â TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11547.20011
441,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10660.25181
446,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11903.56634
448,Â TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,11704.87225
449,Â TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11903.56634
453,TOYOTA Corolla 1.6 4/5-Doors,11568.73892
459,Â TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10610.57829
460,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11596.87363
461,TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,10313.06581
462,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10660.25181
469,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11174.99139
470,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,12002.91338
472,Â TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11696.22068
473,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10801.08556
474,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10697.91067
480,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11087.659
482,TOYOTA Corolla 1.6 SDN LINEA SOL 4/5-Doors,11394.3517
486,Â TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10759.59885
500,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,11543.37227
502,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10391.21797
509,TOYOTA Corolla 1.6 VVTI Linea Sol Sedan 4/5-Doors,11394.3517
511,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11070.1194
516,Â TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10391.21797
518,TOYOTA Corolla 1.4 HB LINEA TERRA 2/3-Doors,10793.07232
530,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10391.21797
531,Â TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,11655.19873
533,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10697.91067
535,Â TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,11655.19873
543,Â TOYOTA Corolla LIFTBACK 1.6 Linea terra 4/5-Doors,11070.1194
547,Â TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11853.89282
551,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,10958.73797
552,Â TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11224.66491
554,TOYOTA Corolla 1.6 Hatchback 2/3-Doors,11444.02522
560,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11696.22068
561,TOYOTA Corolla 1.3 16V LIFTB G6 4/5-Doors,10850.73936
566,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10391.21797
568,Â TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10391.21797
572,Â TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11547.20011
579,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11376.8121
580,Â TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11853.89282
582,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11236.67957
583,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11903.56634
591,Â TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,11655.19873
595,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10801.08556
598,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10391.21797
602,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10697.91067
605,TOYOTA Corolla 2.0 d HB Diesel 2/3-Doors,11946.38193
609,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,8288.751478
613,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,8086.947466
614,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8914.852758
616,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,8762.722268
622,TOYOTA Corolla 1.6 16V G6 2/3-Doors,9759.508344
623,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8235.968033
625,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8235.968033
633,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,9598.834101
634,TOYOTA Corolla 2.0D XL Sedan 4/5-Doors,8434.662123
643,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,8086.947466
645,TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 4/5-Doors,10166.37383
647,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,10116.70031
649,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA AUT4 4/5-Doors,9639.619593
654,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,10213.77599
656,TOYOTA Corolla 1.6 G6-R 2/3-Doors,10682.20514
668,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,10216.04735
670,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
671,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,9756.506237
675,TOYOTA Corolla 1.3 16V LIFTB G6 4/5-Doors,9163.22037
677,TOYOTA Corolla 1.3 16V HATCHB LINEA LUNA 2/3-Doors,9271.218984
679,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,9320.892506
680,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
683,TOYOTA Corolla 2.0 LB LINEA TERRA D 4/5-Doors,8741.354826
687,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,9810.007603
694,TOYOTA Corolla 1.3 Linea Terra sedan Comf. 4/5-Doors,8765.832191
697,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8744.464748
699,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9121.753389
701,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,9382.600413
704,TOYOTA Corolla 1.6-16v Linea Terra 2/3-Doors,9121.753389
709,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,10365.06792
712,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9905.526805
714,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8235.968033
715,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9121.753389
717,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,10216.04735
722,TOYOTA Corolla 1.6 Linea Luna Wagon Stationwagen,9531.62098
725,TOYOTA Corolla 1.6 16V SEDAN LINEA LUNA 4/5-Doors,9806.17976
727,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8744.464748
730,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA AUT3 4/5-Doors,9303.352907
731,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9121.753389
735,TOYOTA Corolla 1.6 Terra HB 2/3-Doors,9121.753389
739,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
742,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,9221.545461
744,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8744.464748
750,TOYOTA Corolla 1.6 HB LINEA TERRA 2/3-Doors,9404.606182
757,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,9810.007603
762,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,8972.732821
765,TOYOTA Corolla 1.3 HB LINEA TERRA 2/3-Doors,8243.544126
772,TOYOTA Corolla 2.0 D Linea luna Wagon Stationwagen,9873.958805
776,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA AUT4 4/5-Doors,9883.169729
778,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,9279.425524
782,TOYOTA Corolla 1.3 16V Linea Terra 2/3-Doors,8744.464748
785,TOYOTA Corolla 1.3 16V HATCHB LINEA LUNA 2/3-Doors,8964.52628
787,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,8972.732821
788,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8744.464748
789,TOYOTA Corolla 2.0 DSL HATCHB LINEA LUNA 2/3-Doors,8762.722268
791,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
794,TOYOTA Corolla 1.6 16V HATCHB LINEA LUNA AUT4 2/3-Doors,9904.537171
798,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,10315.3944
801,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9428.446092
805,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,10116.70031
807,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,10166.37383
811,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8861.834146
815,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,9810.007603
818,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9121.753389
819,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,9420.239551
821,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
827,TOYOTA Corolla 1.6 16v Linea Luna 2/3-Doors,9471.001039
830,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,8943.158838
831,TOYOTA Corolla 1.6 16V HATCHB G6 R 2/3-Doors,9810.007603
834,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9689.293116
838,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8744.464748
844,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA AUT3 2/3-Doors,8735.81318
846,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,9810.007603
848,TOYOTA Corolla 1.3 16V HATCHB S 2/3-Doors,9221.545461
861,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9382.600413
862,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
868,TOYOTA Corolla LIFTBACK 1.6 Linea Sol 4/5-Doors,9909.354648
872,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA AUT3 4/5-Doors,9780.43362
876,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9905.526805
877,TOYOTA Corolla 1.6 16V HATCHB G6 R 2/3-Doors,9810.007603
880,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,8943.158838
882,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8437.772045
886,TOYOTA Corolla 1.6 Linea Terra Comfort 4/5-Doors,9756.506237
889,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,10216.04735
897,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8744.464748
899,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9905.526805
907,TOYOTA Corolla 1.6 VVTi Linea Luna Lift 4/5-Doors,9175.893082
914,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9121.753389
915,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
918,TOYOTA Corolla 1.6 16V HATCHB S 2/3-Doors,9598.8341
928,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,8636.466135
929,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8437.772045
931,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA 4/5-Doors,8595.444181
933,TOYOTA Corolla 1.3 16V LIFTB LINEA LUNA 4/5-Doors,9212.893893
935,TOYOTA Corolla 1.3 16V LIFTB G6 4/5-Doors,9212.893893
937,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9859.681125
940,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,10216.04735
943,TOYOTA Corolla 1.6 16V HATCHB G6 2/3-Doors,10116.70031
948,TOYOTA Corolla 2/3-Doors,10249.056
955,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9598.834101
960,TOYOTA Corolla 1.6 Linea Luna Aut. 4/5-Doors,10207.39578
963,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9689.293116
965,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9689.293116
967,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
969,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,9838.313683
974,TOYOTA Corolla 1.3 16V LIFTB LINEA LUNA 4/5-Doors,9163.22037
979,TOYOTA Corolla 1.6 16V SEDAN LINEA TERRA 4/5-Doors,9279.425524
986,TOYOTA Corolla 1.6 GTSi HB 2/3-Doors,9121.753389
989,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,9279.425524
993,TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8744.464748
994,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9382.600413
995,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9689.293116
996,TOYOTA Corolla 1.6 Lin.Terra Aut. 4/5-Doors,10246.30886
997,TOYOTA Corolla 1.6 SD TERRA 4/5-Doors,8972.732821
1002,TOYOTA Corolla 1.6 LB Linea Terra 4/5-Doors,9563.346557
1004,TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,9320.892506
1008,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,10216.04735
1011,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,9838.313683
1020,TOYOTA Corolla 1.6 16V HATCHB G6 R 2/3-Doors,9810.007603
1021,TOYOTA Corolla 1.3 16V HATCHB S 2/3-Doors,8914.852758
1025,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9909.354648
1027,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,8972.732821
1028,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,9121.753389
1032,TOYOTA Corolla 1.6 16V LIFTB LINEA TERRA 4/5-Doors,9689.293116
1047,TOYOTA Corolla 1.3 16V SEDAN LINEA TERRA AUT3 4/5-Doors,8586.792612
