,Id,Model,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,CC,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Parking_Assistant,Tow_Bar,After_2002,vvt,Premium_option,Predicted
13,35,Â TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,22,11,2002,41000,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,16599.3009025
14,40,Â TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,27,6,2002,27500,Petrol,97,0,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1.0,15587.7121727
15,45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,11,2002,100250,Diesel,90,0,Red,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,4.2,16762.761158
16,46,Â TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,23,10,2002,84000,Diesel,90,0,Red,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,4.2,18897.4432097
17,50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,31,2,2002,64982,Petrol,192,1,Grey,0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4.2,19701.9468261
18,51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,11,2002,62636,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,6.2,17697.4449763
19,61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,2002,37400,Petrol,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,16776.034033
20,68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,11,2002,30400,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,16894.018526
21,69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22,11,2002,30000,Diesel,110,1,Grey,0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,6.2,20626.224797
22,72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,32,1,2002,29198,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,5.2,15269.0427813
23,74,Â TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,23,10,2002,28227,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,3.0,16358.0594544
24,75,Â TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,5,2002,28000,Petrol,110,0,Black,0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,6.2,18980.757328
25,80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,30,3,2002,22000,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,5.0,16123.4926742
26,82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,29,4,2002,20000,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,16726.5884178
27,83,Â TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,25,8,2002,17003,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,3.0,16364.3177365
28,90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,19,2,2003,50005,Diesel,110,1,Grey,0,2000,3,4,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,6.2,20447.3687171
29,96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,17,4,2003,30351,Diesel,90,1,Blue,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6.2,20880.4021018
30,103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,13,8,2003,18000,Petrol,71,0,Grey,0,1400,3,4,5,85,1125,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,4.2,17665.8921077
31,108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17,4,2003,10000,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,17579.1072191
32,111,Â TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,4,5,2004,1,Diesel,116,0,Grey,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,4.2,24967.1088977
33,113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,4,5,2004,1500,Diesel,116,1,Grey,0,2000,5,4,5,283,1480,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,6.2,25242.5459343
34,121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,17,4,2003,57313,Diesel,110,1,Blue,0,2000,5,4,5,234,1275,1,1,3,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,6.2,20623.1697227
35,122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,13,8,2003,57037,Petrol,110,0,Silver,0,1600,5,4,5,85,1115,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,4.2,17265.0012917
36,125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20,1,2003,39115,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,6.2,19179.8030807
37,141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,20,1,2003,23000,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,6.2,19796.7176653
38,145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,16,5,2003,20629,Petrol,110,1,Grey,0,1600,4,4,5,85,1090,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,17614.8374517
39,147,Â TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16,5,2003,20105,Petrol,97,0,Black,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,3.0,17135.1801631
40,155,Â TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,12,9,2003,13634,Petrol,110,1,Silver,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,6.2,18388.7189981
41,157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,15,6,2003,13157,Petrol,97,1,Blue,0,1400,4,4,5,85,1085,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,17534.7345507
42,159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,11,10,2003,12500,Petrol,110,1,Blue,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,6.2,18499.2931984
43,162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,16,5,2003,11000,Petrol,110,1,Blue,0,1600,4,4,5,85,1105,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,4.2,19428.6811676
44,172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,9,12,2003,1,Petrol,110,1,Grey,0,1600,5,4,5,19,1075,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,6.2,18428.6627976
45,175,Â TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,8,1,2004,10000,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,6.2,18518.3090224
46,178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,8,1,2004,7000,Petrol,110,0,Grey,0,1600,5,4,5,85,1115,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,4.2,18565.6748644
47,181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,6,3,2004,3000,Petrol,110,0,Black,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,6.2,21068.9687638
48,182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,7,2,2004,2000,Petrol,110,0,Red,0,1600,5,4,5,19,1075,0,1,24,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,6.2,18577.8912222
49,183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,7,2,2004,450,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,6.2,18770.7342931
50,184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,2,7,2004,225,Petrol,97,1,Blue,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,6.2,19024.737516
51,187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,1,8,2004,1,Petrol,110,1,Grey,0,1600,5,4,5,19,1075,0,0,36,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,6.2,19160.3484971
52,191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,2,2001,178858,CNG,110,0,White,0,1600,3,4,5,197,1084,0,1,3,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1.0,9571.55710807
53,192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,40,5,2001,161000,Diesel,69,1,Grey,0,1900,3,4,5,185,1105,0,1,3,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,4.0,9879.34176363
54,194,TOYOTA Corolla 1.8D 4/5-Doors,44,1,2001,131273,Diesel,69,1,Silver,0,1800,5,4,5,64,1110,0,0,3,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,4.2,10447.9407255
55,197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,37,8,2001,118217,Petrol,110,1,Red,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,6.2,11819.7978826
56,199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,39,6,2001,108847,Diesel,90,1,Blue,0,2000,5,4,5,210,1205,0,1,3,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,4.2,12772.6048546
57,201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,39,6,2001,98823,CNG,110,1,Blue,0,1600,5,4,5,197,1119,1,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,5.2,12324.0533582
58,204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,42,3,2001,92204,Petrol,110,1,Grey,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,4.2,11500.2389781
59,208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,5,2001,85389,Petrol,110,1,Silver,0,1600,5,4,5,85,1075,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,4.2,11798.0267343
60,210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,41,4,2001,84312,Petrol,110,0,Grey,0,1600,5,4,5,85,1080,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,4.2,11782.7464745
61,213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,40,5,2001,80425,Diesel,90,1,Grey,0,2000,5,4,5,210,1205,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,6.2,13115.6000393
62,218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,33,12,2001,75699,Diesel,69,0,Green,0,1900,3,4,5,185,1105,1,1,3,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,4.2,11987.3791841
63,219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,2001,75697,Petrol,97,1,Silver,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1.0,10569.0469698
64,220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,2001,74846,Petrol,97,1,Black,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,2.0,10459.3596623
65,221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,2001,74319,Petrol,110,1,Black,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,6.2,12468.2347803
66,222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,43,2,2001,74285,Petrol,110,1,Blue,0,1600,5,4,5,85,1075,0,1,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0.0,11217.5310383
67,224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,40,5,2001,73042,Petrol,110,1,Blue,0,1598,5,4,5,85,1075,1,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,6.2,12652.1345248
68,232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,2001,63451,Petrol,97,0,Black,0,1400,3,4,5,69,1025,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1.0,10501.0702754
69,235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,4,2001,61200,Petrol,110,1,Blue,0,1600,3,4,5,69,1045,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,6.2,12066.8062636
70,240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,44,1,2001,59000,Petrol,110,0,Grey,1,1600,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,4.2,12283.1624377
71,241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,40,5,2001,58954,Petrol,110,1,Green,0,1600,5,4,5,85,1080,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,4.2,12646.9118671
72,244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,43,2,2001,58277,Petrol,110,1,Grey,0,1600,3,4,5,69,1045,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,4.2,11632.449219
73,245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,33,12,2001,57711,Diesel,90,1,Green,0,2000,3,4,5,210,1165,1,1,3,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,2.2,13073.0411398
74,246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,12,2001,57269,Petrol,110,1,Green,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,4.2,12912.2122844
75,247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,6,2001,56001,Petrol,110,1,Black,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,4.2,12384.8200579
76,248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,42,3,2001,55968,Petrol,110,0,Blue,0,1600,3,4,5,69,1050,1,1,3,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2.2,11658.3578108
77,252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,33,12,2001,55350,Petrol,110,0,Green,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,5.2,13094.9081769
78,259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,2001,52084,Petrol,97,1,Yellow,0,1400,3,4,5,69,1025,1,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2.2,10873.0817808
79,260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,1,2001,52000,Petrol,97,0,Black,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1.0,10694.0760509
80,262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,4,2001,51732,Petrol,97,1,Green,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,3.0,11273.6778818
81,267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,7,2001,49500,Petrol,110,1,Blue,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,4.2,12585.8546545
82,268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,1,2001,49332,Petrol,110,1,Red,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,6.2,12398.6522763
83,271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,6,2001,48945,Petrol,110,0,Red,0,1600,3,4,5,69,1040,0,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,5.2,12247.9058436
84,273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,38,7,2001,48197,Petrol,110,1,Black,0,1600,5,4,5,85,1075,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1.0,12126.6925083
85,275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,34,11,2001,48011,Petrol,110,1,Blue,0,1600,4,4,5,69,1030,1,1,3,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,3.2,12304.1939439
86,282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,35,10,2001,46304,Petrol,97,1,Green,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,4.2,12500.5461167
87,283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,5,2001,45886,Petrol,110,1,Green,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,4.2,12521.8746335
88,294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,35,10,2001,43000,Petrol,110,0,White,0,1600,3,4,5,69,1050,0,1,3,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,4.0,12787.7898142
89,299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,5,2001,41339,Petrol,110,1,Blue,0,1600,5,4,5,85,1080,1,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,6.2,12899.2165621
90,303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,4,2001,39659,Petrol,110,1,Green,0,1600,3,4,5,69,1045,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,4.2,12129.1756853
91,305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,39,6,2001,39524,Petrol,97,1,Grey,0,1398,3,4,5,69,1025,1,1,3,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,5.2,12338.4345196
92,307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,41,4,2001,39439,Petrol,97,0,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1.0,11586.3668031
93,311,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,42,3,2001,38665,Petrol,110,1,Green,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,4.2,12402.6349449
94,314,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,3,2001,38078,Petrol,97,0,Grey,0,1400,3,4,5,69,1025,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1.0,11456.9492043
95,315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,39,6,2001,37782,Petrol,97,1,Red,0,1400,5,4,5,85,1060,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,4.2,12278.3409597
96,324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,37,8,2001,36074,Petrol,110,1,Silver,1,1600,5,4,5,19,1075,0,1,12,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,4.2,13248.9070513
