Id,Yhat
588,11929.93
599,11393.5903
640,9480.385
663,9746.0242
707,10114.973
710,10121.639
736,9751.1242
769,10544.6692
837,9639.6544
843,9543.3356
890,10005.1361
921,10535.0924
946,10063.735
1039,10768.9272
1042,10508.2544
1063,6601.1137
1409,8702.3008
521,11509.5032
919,10978.1048
976,10078.5768
205,13377.9563
477,10972.188
587,12058.036
600,10930.2242
642,9348.9093
745,10484.8006
754,9382.8316
873,9968.0893
1019,11281.2242
1034,11524.6924
936,11294.7266
373,13205.9451
389,9872.9904
479,11876.8925
528,11970.5576
534,11025.9206
702,9036.1587
949,10784.581
520,10874.5935
1038,9919.7656
1340,8550.9765
924,10712.3298
506,11614.0573
578,11502.7767
200,11376.9878
289,12608.0162
308,13148.1494
316,13244.4517
354,13577.9025
397,10347.9189
399,11256.4108
418,11268.9016
419,11057.4609
475,11032.4013
550,11025.3461
590,12032.4665
592,12015.3117
593,11652.0547
596,11819.1711
644,8893.4986
648,10066.5587
653,8608.2739
657,9682.3294
660,8974.3225
662,9246.0961
695,10318.4958
696,10034.2336
758,9824.9022
760,9750.4681
784,9064.895
790,10484.7584
802,9176.8683
810,10529.073
832,10476.0706
842,10796.1028
849,9624.9281
852,10328.7573
853,10188.4867
860,10548.948
881,10608.0532
883,9645.8102
888,10763.09
906,9563.7156
909,9483.7669
925,10713.2388
926,9806.7281
932,10522.0915
972,9827.0475
973,10041.158
975,9241.042
990,10945.7324
992,9019.3838
1000,9953.2975
1001,11151.7582
1016,9929.7223
1017,10500.1977
1030,9564.7268
1137,7633.4558
1181,8508.5031
1314,8229.1032
1316,8523.4612
256,12821.3126
492,12488.7249
320,12905.9882
388,10692.803
505,11107.8916
705,9108.4188
835,9438.4399
879,10321.4924
923,10705.9222
981,10378.8778
1003,9830.9157
1189,8250.3755
1367,8739.4884
682,9993.1717
766,9775.0439
458,11035.7159
874,9556.4483
636,9544.9056
743,9956.9031
1403,8452.0239
495,10733.1935
885,9511.842
665,9609.4098
672,9083.6525
673,9389.4277
721,9526.1146
746,9155.3167
779,9392.6281
829,9077.0738
839,10357.0706
841,9399.8936
864,9246.1651
866,10549.5498
871,9598.9538
891,10435.5269
910,10543.0966
966,10847.4434
1010,10465.5463
1013,9596.685
1024,10127.7447
1375,8485.4294
1393,9008.1418
503,12068.5994
998,10285.935
525,12156.1171
540,11592.5454
189,12110.5743
463,10797.3321
487,10662.1097
620,8982.7378
667,8165.2083
732,9492.1007
761,10033.6757
771,10002.1026
809,10382.8636
826,10728.1256
869,8912.4082
903,9416.476
953,10029.4551
970,9760.504
977,9721.3795
1015,10482.0295
1045,10178.6506
1086,7748.1559
1156,7606.6402
1268,7416.0324
1385,7621.4481
507,11345.2809
392,10640.0821
407,10373.0549
637,8876.5602
691,9274.0338
713,9862.8978
780,10167.4372
813,8889.685
824,9822.2857
875,10600.9226
896,9725.9281
908,10177.7587
916,10822.1304
944,9662.1906
1035,9811.9737
1048,10167.7324
1225,8191.0256
1361,8014.865
1391,8216.2797
523,11197.5547
964,14892.3883
390,10747.5143
666,8847.7669
681,9231.5254
693,9871.238
737,9462.8422
740,10295.6822
806,9332.1475
833,9656.0778
847,9610.8605
855,9922.4575
945,10641.2686
957,9144.6678
1096,7189.7544
1129,7886.1375
1175,8187.1377
1182,7463.0146
1266,8671.0864
1317,8597.4627
1318,7774.8439
1415,9320.9288
1043,10779.4223
1206,8185.3179
767,9015.4538
398,11238.0818
857,10056.5587
1281,9057.6259
1355,8823.2672
804,9605.9015
387,10535.6533
421,11092.4877
478,10632.1935
490,11963.5948
586,10733.6711
606,11298.7935
624,8885.4518
626,8850.4893
629,9484.0805
630,9552.7652
631,9564.8448
635,9682.1462
638,9497.7819
688,9820.7178
689,9334.4491
690,9971.1086
692,8983.8533
698,8322.4239
703,9039.1281
733,9145.1734
747,9366.9426
752,9889.8221
781,8929.3798
786,10322.4656
792,8829.085
793,9713.2781
797,10209.768
799,10215.626
816,9234.9635
822,9472.6962
858,9018.6738
859,8816.7481
878,9418.6219
901,9273.3656
902,9273.3656
905,9766.3281
911,9628.5017
922,10701.9832
938,8809.2432
941,10119.8031
951,10225.2156
961,9106.5255
962,9031.3238
980,9394.4022
1005,9333.4725
1006,10239.5868
1041,10664.1564
1071,7234.9613
1084,6149.4722
1115,7665.9971
1124,8237.2989
1163,7302.3273
1170,8439.5201
1185,7774.1874
1204,7421.4294
1207,7579.274
1231,7746.0423
1241,7767.2077
1257,6607.4615
1269,8709.889
1275,6756.7972
1291,8940.2217
1295,9013.2452
1306,7161.7827
1334,7151.3097
1337,9076.8579
1374,8408.2321
1405,9154.8633
1408,8746.5149
1413,8747.6052
1434,8717.6765
385,9355.7185
452,11519.4315
770,9927.4505
783,9818.3805
808,8722.1444
893,10005.9239
942,10132.7799
958,10126.695
982,9543.7544
1014,10635.4991
1022,10533.6893
1171,8023.9401
1377,8403.3353
987,10810.6574
845,8649.6763
1284,9059.7065
466,12084.556
467,11031.3598
627,8959.3518
639,9311.1156
685,9802.7802
716,8500.9158
720,8380.958
726,9312.1127
741,9392.0559
753,8706.2084
759,8581.4514
863,9508.4531
934,9850.6555
959,10337.3875
984,9000.1534
1009,10742.8555
1139,6330.1797
1165,7566.6269
1202,8152.4803
1203,7214.3931
1221,7640.0196
1247,7370.2967
1272,7083.7139
1312,7954.5092
1384,8798.735
1395,8517.0209
1402,7745.1201
1420,9615.4274
1424,8830.9984
983,9752.8107
1133,8054.9103
1087,7665.5243
386,9429.0879
711,9615.1981
723,9446.7879
978,9815.0726
1055,6812.1925
1064,6471.1084
1117,7419.7765
1196,7343.4325
1258,7366.3202
1274,8334.9821
1310,8915.302
1325,8061.3837
1331,8023.3104
1343,7594.6967
1397,8664.5071
1428,8152.4347
1440,8271.9671
676,9182.7702
1339,7587.3843
719,8857.5669
708,8315.9628
718,9266.7233
724,9295.5605
749,9099.8226
756,9271.9284
825,9339.1724
954,9418.8056
1104,7133.7666
1153,8082.9259
1166,7529.5838
1200,8327.2979
1270,7566.9282
1279,8478.6825
1350,8746.9671
1426,9008.1668
956,9553.9976
1363,8582.8558
618,8825.3266
659,8722.72
661,9109.0701
686,9497.3762
706,8232.4917
803,9318.4317
812,9775.7449
887,9294.3295
900,9052.1363
912,10043.4673
927,9524.1669
991,10130.208
1007,10449.9805
1018,9616.885
1097,7067.854
1114,7815.4267
1184,8535.1713
1186,8112.6627
1219,8660.5325
1224,8477.8734
1230,7934.8296
1265,7977.0946
1297,7996.5627
1324,7668.3477
1352,8678.4356
1369,9290.4986
1373,8605.4512
1376,7730.9541
1392,8165.1934
867,9043.5484
729,8852.662
1427,8264.2511
854,8961.6731
1155,6783.5164
652,8688.6712
820,9391.5355
1261,7815.614
641,8218.7217
1271,8444.9359
1321,8476.3821
1252,7874.0662
615,7958.3087
617,8986.1332
628,9876.2487
632,9149.3658
646,8487.1584
655,9407.6344
664,9278.7432
684,9036.8675
764,8304.2432
773,8616.6802
774,9043.855
775,8908.2304
795,9113.8884
814,9030.9656
894,9109.865
920,9592.7026
988,9705.235
1065,6058.214
1073,6094.4914
1074,6976.7209
1083,7155.7113
1085,7312.9415
1105,7474.5245
1109,6270.8155
1112,7129.8633
1136,7348.713
1147,7226.6379
1148,6549.2303
1161,7492.8804
1168,7056.6513
1193,8360.0266
1195,7625.4887
1217,6717.0097
1226,7508.6934
1232,7530.4488
1240,7077.6843
1242,7559.1934
1259,8695.7999
1262,8319.4769
1267,7495.1529
1293,8530.2371
1294,8464.8408
1298,8125.4321
1315,6722.6734
1353,7499.7145
1365,8654.1303
1380,8910.697
1418,8479.2564
1430,7750.8255
1432,7584.9972
413,9760.2343
608,7710.2656
1026,9457.7631
1100,6260.6916
1102,6414.0922
1227,8427.9545
1364,8159.014
1416,8899.3006
856,9786.4087
1383,8652.2226
1159,7912.258
384,9420.4482
391,10513.5522
393,10925.9797
669,8610.4015
796,9291.9613
913,9307.7056
952,9132.2044
999,8769.082
1076,7806.7846
1089,7064.7568
1116,7649.4578
1118,7425.9821
1135,7340.4714
1150,6696.5709
1157,7279.8447
1235,8146.9765
1245,7850.7234
1255,7764.944
1285,8017.4946
1296,8184.946
1299,7304.5909
1336,7721.4013
1357,7798.2943
1382,7120.3972
1386,7469.4127
1388,7939.8643
1425,8107.0579
1431,7631.8457
1123,7204.283
1277,8195.1963
1429,8926.3752
610,7979.9356
611,9032.2255
904,9146.9522
1134,7010.2096
1213,8171.5048
1286,7403.4515
1289,8303.8046
1311,8002.4039
1313,8097.5068
1404,8058.2969
1421,8660.1374
1438,9324.7407
1249,8126.287
748,8828.9656
1075,8305.3926
1125,7655.1238
1194,7531.1576
1205,6948.9295
1211,7666.1429
1214,7691.8861
1243,7086.9359
1309,8362.0294
1323,7333.1288
1401,8308.1661
1283,8015.5554
1333,8167.6934
947,9382.1544
1126,6635.8515
1190,7308.0623
650,7827.1026
1095,7318.7332
1098,7821.6703
1110,7320.0974
1130,7339.9147
1216,7552.2821
1234,7876.8265
1253,7957.6265
1328,8935.2591
1400,8306.9541
1441,8273.9871
1183,7711.8253
1210,7734.6946
1356,8218.7627
383,9591.6741
1410,7450.2002
1341,8348.364
1177,7345.5141
188,10175.4869
607,7351.2225
651,9190.1544
658,10777.7635
828,8930.085
1057,6992.3206
1068,6876.3673
1082,6121.0033
1092,6718.6126
1164,8372.0256
1179,7390.6821
1209,8185.0831
1233,8577.0239
1246,7098.4903
1251,7580.1408
1301,7909.4548
1338,7302.5691
1348,8303.2847
1422,8522.614
1442,9670.3514
612,8277.1988
621,8763.0996
678,7960.7238
728,9199.1449
1079,7293.6607
1101,6689.0178
1120,7452.4756
1152,7315.1994
1254,7161.1709
1308,8472.1406
1335,8967.0337
1370,8604.0254
1067,5524.9709
1072,6578.9101
1146,6729.914
1212,6987.1883
1220,8405.5527
1238,8097.6636
1379,8214.3014
1108,7154.4632
1176,7845.0828
1138,7071.0722
1062,5471.9209
1094,5848.4097
1368,7690.7275
1160,7207.2488
1107,7302.1152
1162,7160.5821
382,9150.1063
619,9237.7462
1187,7023.0855
1056,6664.8472
1051,6685.4411
674,8505.6462
1061,6997.6097
1081,6219.2823
1088,7375.1777
1141,6477.3991
1244,6805.9907
1273,7510.4039
1280,6826.8757
1304,6893.6165
1320,8274.2182
1389,8284.0722
1049,5889.6992
1358,7716.8466
1066,5630.3965
1058,6122.9643
1069,6140.8724
1080,5803.7915
1052,6051.7912
1099,6754.8265
396,10181.6388
193,11320.9005
